Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Estimates Start After
Indonesia,Total investment,Percent of GDP,,Source: National Statistics Office. Accessed via Haver Data. Latest actual data: 2022 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: No Primary domestic currency: Indonesian rupiah Data last updated: 09/2023,31.932,38.668,37.316,39.096,34.822,36.81,36.384,39.659,39.706,44.364,42.499,43.875,40.517,29.92,31.497,32.399,31.621,32.227,19.227,13.64,25.087,25.315,24.215,28.089,27.358,28.579,28.986,28.736,32.998,31.173,32.88,32.984,35.072,33.831,34.6,34.063,33.859,33.711,34.571,33.78,32.343,2022
Islamic Republic of Iran,Total investment,Percent of GDP,,"Source: Central Bank. The accuracy of data before 1990, the time of the Iran-Iraq war, cannot be verified. Latest actual data: FY2022/23. The fiscal year data are mapped to calendar year as follows: FY(t/t+1) = CY(t) Notes: GDP in US dollars is computed using Iran's official exchange rate up to 2017/18 and using Iran's NIMA rate from 2018/19 onwards. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: No. Iranian year starts in March 21 and ends in March 20. Fiscal year data are mapped to calendar year as follows: FY(t/t+1) = CY(t) Start/end months of reporting year: April/March Base year: FY2016/17. 2016/17=100 Chain-weighted: No Primary domestic currency: Iranian rial Data last updated: 09/2023",37.832,31.322,23.801,31.448,24.764,22.24,19.361,16.013,16.416,25.243,33.336,45.643,45.064,29.756,19.577,29.165,36.945,35.685,34.344,33.779,37.553,40.184,43.166,48.138,47.263,40.281,38.648,39.954,41.813,40.417,38.039,35.879,38.005,36.9,39.521,32.991,31.245,34.295,32.562,39.41,44.26,2023
Iraq,Total investment,Percent of GDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,Total investment,Percent of GDP,,"Source: National Statistics Office. Central Statistical Office of Ireland (CSO) Latest actual data: 2022 Notes: Prior to 1995 Real GDP is calculated using implied growth rates and excludes services produced by financial intermediaries (FISIM). National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2021 Chain-weighted: Yes, from 1995 Primary domestic currency: Euro Data last updated: 09/2023",28.242,29.237,27.702,24.116,22.816,20.167,19.17,17.409,16.713,19.304,22.194,20.18,17.262,16.069,17.173,18.93,20.593,22.229,24.096,24.636,24.508,24.256,24.082,25.744,27.218,30.31,31.893,29.248,24.667,20.304,17.277,17.233,20.011,18.707,22.385,25.909,37.44,34.653,28.676,54.774,43.06,2022
Israel,Total investment,Percent of GDP,,"Source: National Statistics Office Latest actual data: 2022 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1995 Primary domestic currency: Israeli new shekel Data last updated: 09/2023",23.187,22.045,24.583,25.521,23.205,19.844,20.174,20.368,19.932,19.148,21.408,28.112,28.017,28.49,27.549,28.71,29.026,27.844,26.161,26.455,25.47,25.297,23.962,22.596,22.533,23.297,23.315,24.058,22.863,20.55,21.066,23.315,23.734,22.132,22.665,21.876,22.869,22.964,23.939,23.713,24.151,2022
Italy,Total investment,Percent of GDP,,"Source: National Statistics Office Latest actual data: 2022. Annual and quarterly data are on the work-adjusted basis. National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1980 Primary domestic currency: Euro Data last updated: 09/2023",27.89,24.228,23.646,22.037,23.992,24.041,22.132,22.789,23.279,22.799,22.891,22.631,22.002,19.253,19.318,20.042,19.355,19.502,19.735,20.233,20.865,20.843,21.571,21.179,21.262,21.169,21.958,22.246,21.779,19.509,20.58,20.468,17.789,16.892,16.959,17.107,17.561,18.054,18.527,18.24,17.7,2022
Jamaica,Total investment,Percent of GDP,,Source: National Statistics Office Latest actual data: 2022 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Reporting in calendar year: Yes. CY data are constructed from quarterly data. Start/end months of reporting year: January/December Base year: 2007. Base year was changed from 2003 to 2007 for the Spring 2012 WEO round. Chain-weighted: No Primary domestic currency: Jamaican dollar Data last updated: 08/2023,12.012,14.688,14.944,15.923,16.807,16.327,16.463,17.879,20.692,19.785,17.588,16.143,28.237,25.262,24.232,25.26,25.554,25.695,22.6,21.263,23.463,25.88,27.338,26.247,26.467,26.942,28.423,26.571,24.351,21.056,20.207,21.436,19.933,21.26,22.474,21.352,21.28,22.532,23.312,24.269,19.67,2022
Japan,Total investment,Percent of GDP,,"Source: Cabinet Office of Japan via Haver Analytics Latest actual data: 2022 Notes: the recent revision didn't go back pre-1994 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1980 Primary domestic currency: Japanese yen Data last updated: 09/2023",35.007,33.824,32.58,31.154,30.939,30.879,30.837,31.946,34.039,34.833,35.586,35.266,33.584,31.767,30.652,30.934,32.027,31.11,29.591,28.2,28.417,27.755,25.899,25.661,25.638,26.052,26.078,25.769,25.87,22.603,22.59,23.541,24.005,24.418,25.036,25.165,24.836,25.215,25.642,25.79,25.291,2022
Jordan,Total investment,Percent of GDP,,Source: National Statistics Office Latest actual data: 2021 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2016 Chain-weighted: No Primary domestic currency: Jordanian dinar Data last updated: 08/2023,43.849,53.719,46.451,40.513,36.717,26.358,24.949,29.03,27.368,27.535,39.414,30.764,41.407,43.792,39.205,40.12,36.119,30.036,26.235,23.809,27.398,26.236,24.675,24.748,33.783,41.568,35.022,37.023,36.049,32.539,35.038,31.748,31.032,26.6,25.808,24.835,23.407,19.822,19.752,18.757,18.485,2021
Kazakhstan,Total investment,Percent of GDP,,"Source: National Statistics Office Latest actual data: 2022 Notes: Data prior to 1996 cannot be confirmed by national sources at this time. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices. Official GDP is calculated based on production, which does not match the total by expenditure's components. Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2005 Chain-weighted: Yes, from 1994 Primary domestic currency: Kazakhstani tenge Data last updated: 09/2023",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,40.915,26.849,28.704,23.319,16.147,15.599,15.804,17.776,18.139,26.876,27.288,25.704,26.311,30.97,33.901,35.527,27.506,29.415,25.374,22.998,25.23,24.57,25.79,27.908,27.828,26.352,25.258,27.628,28.807,2022
Kenya,Total investment,Percent of GDP,,Source: National Statistics Office Latest actual data: 2022 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2016 Chain-weighted: No Primary domestic currency: Kenyan shilling Data last updated: 09/2023,22.176,23.459,21.191,20.731,19.424,24.024,22.466,23.066,23.534,17.955,22.859,20.439,15.487,16.822,16.15,16.658,13.028,13.482,13.424,15.503,17.094,18.316,15.395,15.887,16.773,16.829,18.314,20.045,19.282,19.001,21.264,21.887,22.192,22.414,24.955,22.103,19.348,20.663,19.376,19.342,19.653,2022
Kiribati,Total investment,Percent of GDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Korea,Total investment,Percent of GDP,,"Source: Central Bank Latest actual data: 2022 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from before 1980 Primary domestic currency: South Korean won Data last updated: 09/2023",34.031,32.16,31.967,32.477,32.298,32.27,32.614,32.586,34.816,36.716,39.553,41.234,38.738,37.654,38.513,38.95,39.423,37.189,27.779,31.013,32.894,31.603,31.093,32.28,32.55,32.508,32.993,33.097,33.667,29.4,32.552,33.319,31.317,29.885,29.79,29.529,30.143,32.288,31.487,31.495,31.885,2022
Kosovo,Total investment,Percent of GDP,,Source: National Statistics Office Latest actual data: 2022 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2016. Base year changes as new data is released - previous year's prices Chain-weighted: No Primary domestic currency: Euro Data last updated: 09/2023,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,23.986,23.813,25.909,25.835,27.447,27.689,37.282,32.62,33.128,36.057,31.901,29.998,27.847,30.433,33.522,34.694,36.295,34.558,33.406,2022
Kuwait,Total investment,Percent of GDP,,"Source: Ministry of Planning and Central Statistical Office Latest actual data: 2020. Preliminary numbers Notes: Real GDP data for the period 1990-2009 have been adjusted by desk economist to account for breaks in the source data. The breaks are associated with changes in the base year from 1984 to 1995, to 2000, and subsequently to 2010. Pre-revision data exist for the period prior to 1995. The nominal data were revised back to 1995. The latest revision of nominal and real data go to 2010. Using the pre-revision data, desk economist recalculated the constant price data for the period prior to 1995 so that y-o-y change of each component remains unchanged. A similar adjustment was made to the period 1995-2009. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2010. Nominal data has been revised by country authorities but real data has not. Therefore, deflators do not equal 100 in base year. Chain-weighted: No Primary domestic currency: Kuwaiti dinar Data last updated: 09/2023",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,14.759,15.104,13.639,18.452,14.556,10.665,14.305,17.128,16.633,18.186,16.427,16.158,20.457,17.63,17.966,17.659,13.548,12.835,14.351,16.29,25.428,29.959,27.731,25.308,25.018,30.819,2020
Kyrgyz Republic,Total investment,Percent of GDP,,"Source: National Statistics Office Latest actual data: 2022 Notes: for 2022, large E&O affecting the external CA lead to a large discrepancy between GDP and the sum of its components from an expenditure-side approach. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2005 Chain-weighted: Yes, from 2010 Primary domestic currency: Kyrgyz som Data last updated: 08/2023",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,18.209,11.469,8.664,18.044,24.973,21.454,15.164,17.758,19.765,17.778,17.388,11.63,14.291,16.213,23.796,26.249,28.548,26.884,27.054,25.165,34.623,33.542,36.405,34.285,31.61,30.719,27.72,24.946,17.442,2022
Lao P.D.R.,Total investment,Percent of GDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,Total investment,Percent of GDP,,"Source: National Statistics Office Latest actual data: 2022 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1995 Primary domestic currency: Euro Data last updated: 09/2023",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,22.834,10.117,16.588,15.658,19.021,21.054,25.646,22.085,24.493,27.859,27.848,29.789,33.076,35.056,39.821,41.557,35.269,22.433,20.339,25.696,27.445,24.263,23.796,23.646,21.057,21.896,23.096,22.982,21.858,2022
Lebanon,Total investment,Percent of GDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lesotho,Total investment,Percent of GDP,,Source: National Statistics Office Latest actual data: FY2020/21. Fiscal year data are mapped to calendar year as follows: FY(t/t+1) =0.75* CY(t)+0.25CY(t+1) Notes: The national accounts real values have been updated from 2015 onwards. Prior to 2015 the data has been adjusted to produce smooth series with the use of splicing technique. These estimates continue to serve as proxies for historical series when complete information is unavailable. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: No Start/end months of reporting year: April/March Base year: FY2012/13 Chain-weighted: No Primary domestic currency: Lesotho loti Data last updated: 08/2023,33.97,34.435,37.136,32.335,35.724,35.251,32.723,36.575,41.198,44.401,50.423,60.288,61.061,62.538,57.737,60.821,61.616,52.02,46.607,41.929,37.091,31.144,25.659,24.026,21.469,18.866,20.389,25.814,28.626,30.744,29.652,28.094,34.889,33.065,33.091,30.011,27.148,24.97,22.756,25.175,28.29,2021
Liberia,Total investment,Percent of GDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Libya,Total investment,Percent of GDP,,Source: Ministry of Economy and/or Planning Latest actual data: 2021 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2013. We received new data rebased to 2013 from 2007 Chain-weighted: No Primary domestic currency: Libyan dinar Data last updated: 09/2023,26.171,33.778,28.674,28.496,26.105,18.465,22.818,15.362,18.988,22.517,22.317,19.901,16.91,20.179,20.228,7.696,12.147,2.25,2.759,1.999,1.999,52.2,61.523,49.654,44.352,40.322,36.31,20.604,21.567,26.018,19.801,8.442,15.219,21.686,26.224,17.382,13.8,13.708,15.134,14.163,28.546,2021
Lithuania,Total investment,Percent of GDP,,"Source: National Statistics Office. Data from Statistics Lithuania: http://www.stat.gov.lt/en/ Latest actual data: 2022 Notes: Data prior to 1995 cannot be confirmed by national sources at this time. National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 2005 Primary domestic currency: Euro Data last updated: 09/2023",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,22.762,21.113,24.622,24.38,21.396,18.833,19.089,20.809,21.969,22.888,24.266,26.947,32.309,28.124,12.657,18.126,21.962,19.76,19.526,19.623,21.27,19.208,19.181,20.356,17.725,14.04,2022
Luxembourg,Total investment,Percent of GDP,,"Source: National Statistics Office Latest actual data: 2022 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1995. The Luxembourg statistics office (STATEC) publishes the national accounts data starting from 2000 only. Previously, the same data were published from 1995, but when the authorities moved to the ESA 2010 standard, the historical data were only revised back to 2000. Primary domestic currency: Euro Data last updated: 09/2023",21.088,19.687,15.421,20.126,22.188,17.397,20.876,23.773,24.518,24.199,24.892,26.615,23.124,23.395,22.129,20.694,21.299,23.44,24.547,25.246,22.559,22.211,20.428,21.309,21.306,21.51,19.004,19.513,20.58,16.183,18.083,19.269,18.752,18.145,19.094,18.958,17.932,18.889,17.045,18.693,17.345,2022
Macao SAR,Total investment,Percent of GDP,,"Source: National Statistics Office Latest actual data: 2022 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2021 Chain-weighted: Yes, from 2001 Primary domestic currency: Macanese pataca Data last updated: 09/2023",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,9.241,9.892,13.633,16.069,25.537,33.52,36.547,30.405,18.505,13.247,13.773,14.647,14.069,19.796,25.337,21.848,19.561,17.218,14.109,25.617,2022
Madagascar,Total investment,Percent of GDP,,Source: National Statistics Office Latest actual data: 2022. 2020 and 2021 are preliminary data National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2007 Chain-weighted: No Primary domestic currency: Malagasy ariary Data last updated: 09/2023,46.59,35.688,26.348,25.999,26.822,18.764,20.506,25.001,17.601,40.749,35.962,30.675,36.094,37.875,32.873,8.871,9.526,10.152,12.247,12.293,11.931,14.509,10.97,13.725,21.151,19.327,20.311,26.518,38.746,37.222,27.027,23.351,20.169,16.513,16.491,15.992,16.366,15.806,20.703,22.684,17.715,2022
Malawi,Total investment,Percent of GDP,,Source: National Statistics Office Latest actual data: 2022. Since 2011 we have used IMF staff's and Malawian authorities' combined estimates for National Accounts data. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2017. Rebased to 2017 from 2010 Chain-weighted: No Primary domestic currency: Malawian kwacha Data last updated: 09/2023,11.622,8.234,9.744,10.258,6.149,8.509,5.827,7.346,8.703,9.784,9.584,9.427,9.315,7.084,13.506,8.117,5.702,5.375,6.259,6.845,6.336,7.121,10.368,7.85,8.87,11.039,12.807,15.633,13.202,12.518,13.133,7.435,8.779,8.654,7.864,8.482,7.261,9.584,7.888,7.861,7.541,2022
Malaysia,Total investment,Percent of GDP,,"Source: National Statistics Office. From Department of Statistics Malaysia (DOS) downloaded via CEIC Latest actual data: 2022 Notes: GDP was rebased by the National Statistical Office, new base year is 2015. The official series starts in 2015. Data prior to that is spliced based on the old series. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2015. Data prior to 2015 are spliced by the country team. Chain-weighted: No Primary domestic currency: Malaysian ringgit Data last updated: 09/2023",34.783,40.036,42.372,41.023,35.735,29.813,27.84,24.755,27.547,30.402,35.338,37.843,36.003,39.613,41.386,43.523,41.964,43.377,29.539,25.658,29.397,26.838,27.24,25.532,25.85,23.122,23.425,23.966,22.265,18.407,23.657,23.456,25.951,26.108,25.158,25.424,25.996,25.547,23.897,21.048,19.658,2022
Maldives,Total investment,Percent of GDP,,Source: Ministry of Finance or Treasury. National Bureau of Statistics Latest actual data: 2022 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices. Production-based measure. Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2014 Chain-weighted: No Primary domestic currency: Maldivian rufiyaa Data last updated: 08/2023,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,28.07,28.07,28.07,28.07,28.07,28.07,28.07,28.07,28.07,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,2022
Mali,Total investment,Percent of GDP,,Source: National Statistics Office Latest actual data: 2022 Notes: National accounts have new methodology starting in 1990. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 1999 Chain-weighted: No Primary domestic currency: CFA franc Data last updated: 08/2023,21.329,30.357,26.683,22.755,22.676,49.441,29.758,27.021,26.836,20.369,28.445,29.36,27.473,28.613,36.342,35.864,28.225,29.735,22.923,17.893,17.176,20.49,15.746,20.812,21.629,20.882,21.192,23.874,24.036,21.939,24.026,19.723,17.183,19.323,20.16,20.761,23.963,21.59,20.458,22.532,17.186,2022
Malta,Total investment,Percent of GDP,,"Source: National Statistics Office. Eurostat Latest actual data: 2022 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 2000 Primary domestic currency: Euro Data last updated: 09/2023",24.66,27.538,33.497,30.763,29.719,28.99,25.944,27.267,28.994,29.848,33.774,31.778,26.987,29.446,30.392,31.82,28.575,25.64,23.369,23.945,26.911,20.722,17.358,22.839,24.031,27.686,23.598,23.558,22.129,20.032,22.277,17.682,17.155,16.174,15.664,24.14,23.255,20.616,19.853,20.769,21.74,2022
Marshall Islands,Total investment,Percent of GDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,Total investment,Percent of GDP,,"Source: National Statistics Office Latest actual data: 2021 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 1998 Chain-weighted: Yes, from 2014 Primary domestic currency: New Mauritanian ouguiya Data last updated: 08/2023",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,32.957,34.472,39.81,27.59,94.555,39.243,33.942,29.156,9.762,11.141,11.296,12.509,9.544,21.475,35.254,48.905,26.001,28.144,33.02,26.433,32.251,38.654,49.167,47.557,41.797,38.461,31.278,37.899,46.45,46.944,46.841,2021
Mauritius,Total investment,Percent of GDP,,"Source: National Statistics Office Latest actual data: 2022 Notes: Figures for exports and imports of services are not equal to those compiled by the BOM, due to the difference in sectoral coverage and the treatment of FISIM by CSO and BOM. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2018. In July 2022, the authorities changed the benchmark year of the national accounts from 2013 to 2018. The revision also brought some improvements in the estimation process and coverage. This resulted in a historical revision of national accounts Chain-weighted: Yes, from 1999 Primary domestic currency: Mauritian rupee Data last updated: 09/2023",24.87,23.533,21.722,17.569,20.024,23.252,23.012,24.218,28.702,31.399,31.291,29.745,29.206,29.157,30.398,27.989,26.022,28.832,28.303,28.898,28.204,19.59,20.839,22.377,23.051,21.421,25.233,25.64,25.009,23.45,26.745,23.628,24.057,21.527,19.069,17.492,17.273,17.668,18.873,19.436,18.226,2022
Mexico,Total investment,Percent of GDP,,Source: National Statistics Office Latest actual data: 2022 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2018 Chain-weighted: No Primary domestic currency: Mexican peso Data last updated: 09/2023,29.559,29.771,26.154,23.131,22.711,23.953,21.238,22.806,22.179,22.288,22.513,22.758,22.805,22.624,24.337,19.312,19.738,21.146,22.804,22.243,22.265,20.274,20.408,20.881,22.046,21.522,22.564,23.072,24.121,23.259,23.331,24.252,24.378,22.681,22.293,23.736,24.343,23.892,23.477,22.111,20.201,2022
Micronesia,Total investment,Percent of GDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,Total investment,Percent of GDP,,Source: National Statistics Office Latest actual data: 2022 Notes: National accounts data from 2010 onwards sourced from the latest update by the National Bureau of Statistics. National accounts data prior to 2010 have been back spliced by IMF staff. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 1995. The National Statistics Office is using 2010 as a base year while this submission is based on 1995. Chain-weighted: No Primary domestic currency: Moldovan leu Data last updated: 08/2023,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,59.818,54.223,36.701,24.877,24.245,23.814,25.873,22.884,25.46,23.282,21.66,23.178,26.359,30.826,32.748,38.106,39.228,23.142,23.601,24.049,24.199,24.938,26.219,23.595,21.982,21.939,26.592,25.104,22.707,2022
Mongolia,Total investment,Percent of GDP,,Source: National Statistics Office. Discrepancies rise from staff estimates based on the balance of payment data and the authorities' data on net exports at constant price. Latest actual data: 2022 Notes: Data prior to 1991 cannot be confirmed by national sources. Data after 2000 has been rebased National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: No Primary domestic currency: Mongolian tˆgrˆg Data last updated: 08/2023,46.193,73.37,71.535,62.885,55.291,55.387,59.774,51.124,54.137,59.157,13.61,22.905,26.321,36.342,33.099,23.85,25.179,23.949,25.571,25.368,22.407,26.186,20.104,27.659,28.766,37.529,35.885,38.705,43.566,34.371,42.087,58.151,55.899,53.276,35.175,24.514,22.629,27.406,39.378,35.592,22.384,2022
Montenegro,Total investment,Percent of GDP,,Source: National Statistics Office. MONSTAT Latest actual data: 2021 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2006 Chain-weighted: No Primary domestic currency: Euro Data last updated: 09/2023,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,23.749,24.583,19.8,16.384,17.579,18.684,23.928,34.757,41.177,26.943,21.77,19.329,20.586,19.606,20.221,20.095,26.105,30.223,31.915,31.978,31.186,2021
Morocco,Total investment,Percent of GDP,,"Source: National Statistics Office Latest actual data: 2022 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2014 Chain-weighted: Yes, from 2007 Primary domestic currency: Moroccan dirham Data last updated: 09/2023",24.667,26.57,28.727,24.394,25.771,27.682,23.224,21.471,21.372,24.113,25.759,23.199,23.306,22.602,21.648,20.814,19.77,21.009,23.513,21.306,21.846,23.115,22.723,24.538,26.256,25.363,25.957,31.352,37.226,33.057,32.191,34.074,32.651,32.919,30.511,29.994,31.747,31.456,31.941,30.421,28.62,2022
Mozambique,Total investment,Percent of GDP,,Source: National Statistics Office. Instituto Nacional de Estadistica (INE). Latest actual data: 2022 Notes: Data prior to 1992 cannot be confirmed by national sources at this time. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2014 Chain-weighted: No Primary domestic currency: Mozambican metical Data last updated: 09/2023,17.198,34.875,31.347,25,21.66,15.972,14.857,35.158,42.425,41.222,43.538,26.036,28.688,28.577,24.528,34.008,21.505,21.456,23.953,40.425,37.665,30.573,36.402,29.889,25.322,22.515,21.595,20.512,20.992,18.327,21.94,28.828,49.529,53.988,52.855,41.249,46.602,33.186,50.048,60.058,50.811,2022
Myanmar,Total investment,Percent of GDP,,Source: Ministry of National Planning and Economic Development. Historical data up to 2015/16 have been re-estimated by IMF staff to ensure data consistency after the change of fiscal year from April-March to October-September. Latest actual data: FY2019/20. FY(t/t+1) = CY(t+1) National accounts manual used: Other GDP valuation: Market prices. Data refer to fiscal years Reporting in calendar year: No. Fiscal year data are mapped to calendar year as follows: FY(t-1/t) = CY(t) Start/end months of reporting year: October/September. In 2018 Myanmar authorities changed the fiscal year to 1 October to 30 September from previously 1 April to 31 March. Historical data up to 2015/16 have been re-estimated by IMF staff to ensure data consistency. Base year: FY2015/16 Chain-weighted: No Primary domestic currency: Myanmar kyat Data last updated: 08/2023,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,11.037,11.347,13.226,12.747,10.089,9.349,10.756,11.654,11.905,12.419,14.414,17.66,22.411,28.456,31.867,32.028,32.056,33.552,33.474,34.5,33.009,32.285,32.285,2020
Namibia,Total investment,Percent of GDP,,Source: National Statistics Office Latest actual data: 2022 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Reporting in calendar year: Yes. Annual CY data are reconstructed from quarterly data Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: No Primary domestic currency: Namibian dollar Data last updated: 09/2023,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,16.063,28.754,15.79,18.617,14.995,18.646,19.266,20.684,16.935,19.89,23.185,19.946,23.529,19.238,19.9,19.14,19.665,23.33,24.419,32.297,24.695,22.872,18.909,25.624,25.565,36.021,28.895,20.873,16.223,12.644,12.772,11.556,2022
Nauru,Total investment,Percent of GDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
